PASSENGER_CAPACITY,BASE_COST/FLIGHT,FUEL_COST/MILE,TOTAL_FLIGHTS,COST/PASSANGER,GATE_COST/FLIGHT,FEE_COST/FLIGHT,TOTAL_COST/FLIGHT
524.0,10286.68,36.5,1060.0,83.93973959383553,3509.7364905660384,46.185169811320776,43984.42354716981
524.0,10200.55,36.0,1017.0,83.88471886329349,3611.6760078662787,59.81048180924289,43955.59268436579
524.0,10195.15,35.9,694.0,83.77906862529423,3146.575677233422,-2.8274351585014434,43900.23195965418
524.0,9999.26,35.8,14.0,83.6744288440567,3910.0542857142864,153.875,43845.400714285715
524.0,10399.46,38.3,616.0,83.23798589769008,3044.21303571428,2.0352435064935075,43616.70461038961
524.0,10446.75,37.2,184.0,82.95881720876204,3809.1503260869567,54.38945652173913,43470.420217391315
524.0,10043.25,36.1,674.0,82.84297316352185,3137.617077151323,31.15234421364985,43409.717937685455
524.0,9437.6,35.5,964.0,82.66396851540969,3572.911535269703,33.164605809128616,43315.91950207468
524.0,10378.69,36.1,645.0,82.65748056097992,3074.148279069754,15.023937984496127,43312.519813953484
524.0,9690.21,36.0,668.0,82.5388464197559,3105.7243263472947,57.55335329341316,43250.35552395209
524.0,10416.68,36.0,455.0,81.23481780052006,2905.9223076922963,61.913428571428575,42567.04452747251
524.0,10072.4,35.2,907.0,79.79206483499837,3509.595038588758,87.94660418963618,41811.04197353915
524.0,9932.81,36.0,601.0,79.64684434974787,3085.917071547417,16.237354409317803,41734.94643926788
524.0,10420.99,38.8,229.0,78.5559961165372,3758.87419213974,57.18043668122272,41163.341965065505
524.0,9585.96,35.2,16.0,76.84398854961832,3439.939375,895.9106249999999,40266.25
524.0,9555.02,37.1,236.0,76.7449731530599,2659.8821186440696,43.396949152542376,40214.365932203385
524.0,10525.63,36.2,22.0,73.68882286606524,3149.3859090909086,-94.71545454545453,38612.943181818184
524.0,10454.74,38.1,538.0,73.25610793439088,3581.094479553904,15.132100371747198,38386.20055762082
524.0,10304.09,38.7,62.0,72.79628939916276,4317.693387096773,87.4041935483871,38145.25564516129
524.0,9962.07,37.1,571.0,69.11697644416519,3478.7222767075355,42.81768826619965,36217.29565674256
524.0,9619.14,37.8,675.0,67.0638517104891,2828.49139259259,42.18290370370371,35141.458296296296
524.0,9220.78,35.9,606.0,66.69188191242789,2993.832920792083,47.32871287128713,34946.54612211222
524.0,10079.39,38.3,691.0,66.63323637608953,3478.82218523879,62.642445730824925,34915.815861070914
524.0,9566.73,37.2,83.0,66.62649774671203,4015.389638554212,92.15783132530122,34912.28481927711
524.0,9220.41,37.1,632.0,65.75287826722389,3675.818718354432,89.06465189873417,34454.50821202532
524.0,9291.01,38.8,661.0,65.49845379427423,3958.440121028749,107.14361573373675,34321.1897881997
524.0,9274.3,38.7,671.0,65.0632520107849,3728.801594634887,74.12353204172875,34093.14405365128
524.0,10199.19,37.9,937.0,65.03344544062175,3955.866574172885,142.79928495197427,34077.5254108858
524.0,10143.12,37.4,594.0,64.7662287955895,3931.0329797979907,67.26720538720537,33937.5038888889
524.0,10302.7,39.3,1319.0,64.57629833206971,3608.8239499620736,95.59087187263086,33837.98032600453
524.0,10377.21,35.2,17.0,63.75112819937136,3070.9170588235284,-5.655294117647053,33405.59117647059
524.0,10129.11,39.4,1378.0,63.46780574513342,3597.5751161102885,126.68179970972427,33257.13021044991
524.0,9732.18,38.0,1351.0,63.28974159655552,3653.8602738711884,80.46913397483347,33163.82459659509
524.0,10476.03,38.1,689.0,63.11750271441074,3193.163904208997,3.316516690856314,33073.57142235123
524.0,9904.11,37.4,895.0,62.97530165465477,3928.5833519552984,104.90600000000009,32999.0580670391
524.0,9682.49,38.9,1144.0,62.83841304449364,3567.592403846132,129.3103321678322,32927.32843531467
524.0,9466.4,39.1,1407.0,62.80921769288777,3626.3439658848447,83.73855721393036,32912.03007107319
524.0,10088.51,39.2,735.0,62.698733577400425,2860.7915782312934,45.82481632653061,32854.13639455782
524.0,9406.2,39.1,1400.0,62.49919014449288,3540.731142857122,125.62213571428569,32749.57563571427
524.0,9253.18,39.0,733.0,62.0538111962759,2872.808021828106,66.22533424283768,32516.19706684857
524.0,9739.32,36.6,719.0,61.952004666149975,3028.826397774688,48.55089012517384,32462.850445062584
524.0,10199.68,37.5,1337.0,61.7397388336654,3624.961308900503,164.14314136125654,32351.62314884067
524.0,9219.74,37.9,658.0,61.04431741455717,2991.4987537993875,7.983449848024319,31987.22232522796
524.0,9430.46,38.0,1458.0,61.01477277248973,3554.261200274324,69.79248971193415,31971.740932784618
524.0,9757.2,36.5,1277.0,60.93892703856241,3700.374925606866,65.91336726703211,31931.997768206704
524.0,10450.07,39.4,1354.0,60.8455006229774,3554.331868537648,143.53926144756284,31883.042326440158
524.0,10313.08,38.3,1339.0,60.72018690603101,3723.808409260619,80.99529499626591,31817.377938760248
524.0,9291.06,36.9,1384.0,60.42278296397207,3600.8042413294593,64.11213872832371,31661.538273121365
524.0,10119.6,35.4,758.0,60.41702791093476,3602.977401055412,91.97372031662262,31658.522625329813
524.0,9461.78,37.4,684.0,59.43401533413687,3165.058771929827,50.24333333333335,31143.424035087723
524.0,9254.18,37.2,1439.0,59.272369674657405,3658.4634815844092,75.21667129951356,31058.72170952048
524.0,9191.35,37.8,1412.0,59.25348814955773,3597.3716713880854,118.4420963172805,31048.827790368246
524.0,9791.0,37.6,1383.0,59.04719073758227,3566.364880694121,129.23450469992767,30940.72794649311
524.0,9619.09,38.8,759.0,58.58090345874945,3085.769565217389,14.775625823451911,30696.393412384714
524.0,9398.31,36.7,1297.0,58.29808484935872,3565.9314880493243,89.73868157286047,30548.196461063973
524.0,10429.65,37.0,346.0,58.06844829678331,3919.808526011565,83.85606936416185,30427.86690751445
524.0,9375.99,36.1,491.0,57.57527560983196,3947.5885947046913,98.39594704684322,30169.444419551943
524.0,10158.07,35.6,774.0,57.38065711481943,3040.3258139534914,20.077015503875973,30067.46432816538
524.0,9428.5,35.4,1331.0,56.73967561553325,3656.5340270473175,72.73202854996245,29731.59002253942
524.0,9541.3,35.4,1431.0,56.64592176506043,3698.917106918221,76.18824598183089,29682.463004891666
524.0,10023.6,35.3,882.0,56.636166285852745,3949.9231632652973,27.58715419501134,29677.35113378684
524.0,10467.81,35.5,1392.0,56.62491883829073,3598.6276221264125,73.51734913793103,29671.457471264344
524.0,9649.35,35.4,619.0,54.589345194785935,3008.7947172859267,64.90164781906302,28604.81688206783
524.0,9447.48,35.7,577.0,53.0575064825962,3044.114558058916,74.407746967071,27802.133396880407
524.0,9346.33,38.4,684.0,52.50344892527118,2925.04590643274,38.71922514619883,27511.807236842098
524.0,9172.69,38.8,734.0,48.951703283274725,2766.0567847411335,26.783964577656675,25650.692520435954
524.0,9186.1,37.8,754.0,46.32575639844491,2840.864111405822,41.63913793103448,24274.696352785133
524.0,9621.81,36.6,707.0,44.92941031344136,2812.192885431391,18.4277369165488,23543.01100424327
524.0,9764.95,37.1,716.0,43.87510466864258,2789.355544692732,16.985754189944142,22990.554846368712
524.0,9651.25,35.8,751.0,43.32388131346498,2813.2972569906706,29.093515312916125,22701.71380825565
524.0,9282.83,36.0,931.0,33.74846213133699,3153.5048442534508,-26.148496240601517,17684.194156820584
368.0,7665.65,33.4,660.0,236.69325234683797,3544.447727272723,18.842166666666664,87103.11686363637
368.0,7644.01,33.4,668.0,234.46461500911215,3503.6724999999965,31.905823353293414,86282.9783233533
368.0,7575.54,31.0,701.0,212.5701438938163,3505.017631954354,49.755378031383756,78225.8129529244
368.0,6919.5,32.6,306.0,205.1567339798239,3523.681307189566,484.54058823529414,75497.6781045752
368.0,7451.65,30.7,190.0,186.2561231407323,3881.598473684225,414.9264210526315,68542.2533157895
368.0,6906.41,30.5,259.0,185.6121706605675,3603.376718146743,410.49281853281855,68305.27880308883
368.0,7277.93,31.2,59.0,168.1427777266028,3295.022372881352,555.336779661017,61876.542203389836
368.0,7478.99,31.2,46.0,153.91110408790166,3940.5293478260833,499.12217391304335,56639.286304347814
368.0,7166.02,33.1,59.0,152.30797853721444,3398.3047457627085,606.05,56049.33610169491
368.0,7445.64,31.5,47.0,148.4550722710453,3574.571063829784,471.9168085106383,54631.466595744685
368.0,7517.8,30.6,82.0,136.32191907476138,3875.509999999994,214.81963414634149,50166.46621951219
368.0,6924.09,33.0,1062.0,135.9074874109556,3691.47786252357,13.316487758945387,50013.95536723167
368.0,7605.37,33.1,1080.0,134.6611939412239,3700.335546296326,27.08373148148149,49555.3193703704
368.0,7033.15,33.1,1117.0,133.09117005955403,3742.796875559567,6.8781468218442265,48977.55058191588
368.0,7367.64,32.8,122.0,130.2189676140413,3592.356147540978,-1.2449180327868927,47920.5800819672
368.0,7467.53,34.1,1145.0,127.91498044427568,3663.0997030567714,107.64620087336247,47072.71280349344
368.0,7107.42,31.5,374.0,127.5586322948152,3766.24483957221,115.92676470588235,46941.576684492
368.0,7040.58,31.6,20.0,126.95150951086956,3987.9494999999997,-45.13399999999999,46718.1555
368.0,7223.06,31.3,1098.0,126.39152258058138,3723.5639890710695,6.804025500910747,46512.08030965395
368.0,7482.44,33.3,38.0,124.73067720251716,3523.9402631578937,305.9042105263158,45900.889210526315
368.0,6952.53,32.6,247.0,124.62659368949132,3750.2625101214753,241.1215384615384,45862.58647773281
368.0,7277.18,32.5,580.0,124.0756743347076,3592.8506896551557,196.18281034482752,45659.8481551724
368.0,7908.89,33.9,473.0,123.88370541869654,3027.5357716701806,39.88727272727273,45589.20359408033
368.0,7268.36,30.8,328.0,122.6244329931072,3778.820640243929,213.94631097560963,45125.791341463446
368.0,7136.79,33.8,544.0,120.91342181505752,3485.3623713235243,150.11840073529413,44496.139227941174
368.0,7509.75,33.9,127.0,119.11852832933928,3301.0559055118047,375.60818897637796,43835.61842519685
368.0,7556.32,30.8,922.0,118.39052676718852,3533.7898373101975,56.0585032537961,43567.71385032538
368.0,7229.6,32.4,1123.0,118.30884272523136,3641.665583259141,121.25229741763131,43537.65412288514
368.0,7269.95,33.7,671.0,118.15993710717292,3028.1640387481207,27.851385991058116,43482.85685543963
368.0,6935.93,33.9,623.0,118.06515807104468,3164.3367576243827,62.8422150882825,43447.978170144444
368.0,7274.85,34.1,1004.0,117.54586675038978,3583.9971613545868,80.26845617529881,43256.87896414344
368.0,7648.67,32.3,125.0,117.46381456521736,3139.9827999999943,295.94336000000004,43226.68375999999
368.0,7509.2,33.8,974.0,117.31743845415588,3578.0919917864526,43.41591375770019,43172.817351129364
368.0,7316.55,33.8,986.0,116.54859516932709,3491.9644320486836,77.00053752535496,42889.88302231237
368.0,7401.16,34.0,694.0,116.1551037229044,3093.8244236311143,10.683141210374638,42745.07817002882
368.0,7767.4,33.9,913.0,116.146194461641,3479.732267250819,35.311653888280404,42741.79956188389
368.0,7211.95,32.9,945.0,116.05046040372667,3491.241037037033,79.43802116402117,42706.56942857142
368.0,7760.73,33.7,646.0,116.0335056030421,3097.106532507722,64.35944272445822,42700.33006191949
368.0,7575.4,33.4,275.0,115.61776175889328,2886.2810181818204,156.87130909090908,42547.33632727273
368.0,7027.93,33.2,859.0,115.15576855671408,3513.7959022118744,103.78303841676376,42377.32282887078
368.0,6978.38,31.4,363.0,114.91655430291048,3365.43159779613,58.44550964187327,42289.29198347106
368.0,7016.59,33.9,621.0,114.20198942799128,3094.9591143317093,52.65850241545894,42026.33210950079
368.0,7253.88,32.7,612.0,114.01527635691954,3056.7916830065224,49.16923202614379,41957.6216993464
368.0,7504.42,32.4,964.0,113.98020670778462,3685.7561203319556,58.250819502074684,41944.71606846474
368.0,7006.91,32.9,920.0,113.9680496219282,3649.905260869574,89.8966739130435,41940.24226086958
368.0,7675.33,32.7,985.0,113.93491395387332,3539.6799898477166,67.32134010152284,41928.048335025385
368.0,7060.14,32.9,1007.0,113.85935878200422,3512.8343495531267,15.58753723932473,41900.24403177756
368.0,7150.13,33.0,1020.0,113.56858485187554,3524.9752941176484,35.95216666666666,41793.2392254902
368.0,7403.96,33.1,398.0,112.86273582586846,3215.5718341708416,-16.62550251256281,41533.48678391959
368.0,7171.61,33.7,255.0,112.52290590366582,3184.8687450980387,45.55749019607842,41408.42937254902
368.0,7286.49,31.7,944.0,112.29781226971258,3524.0936758474522,102.24265889830507,41325.59491525424
368.0,7593.42,33.0,677.0,111.95724319247316,3157.12902511077,1.0094387001477114,41200.26549483012
368.0,7686.57,33.1,861.0,111.84557219865675,3510.2960511033634,83.33468060394888,41159.17056910569
368.0,7756.99,32.6,933.0,111.7821119635118,3603.5792711682698,11.699453376205785,41135.81720257235
368.0,6913.1,32.2,781.0,111.74496802455047,3473.204583866839,49.032509603072995,41122.148233034575
368.0,7774.08,32.5,953.0,111.5461752931247,3487.4709863588737,86.77073452256032,41048.992507869894
368.0,7321.16,32.6,1065.0,111.19878569606044,3603.683173708933,77.83184037558681,40921.15313615024
368.0,7503.67,33.8,665.0,111.07938705459296,3113.384812030061,85.0636090225564,40877.21443609021
368.0,7533.81,31.5,949.0,111.00601167705136,3529.003740779766,76.35871443624869,40850.212297154896
368.0,7615.12,32.9,1007.0,110.56359019472389,3508.9196921549105,26.671072492552135,40687.40119165839
368.0,7150.24,33.6,660.0,110.05820895092224,3154.354696969685,60.637106060606065,40501.42089393938
368.0,7394.28,31.4,997.0,109.93364934477346,3505.944242728184,45.85175526579741,40455.58295887663
368.0,7042.46,31.2,177.0,109.87088998403344,4024.5109604519935,-1.3658192090395564,40432.48751412431
368.0,7503.65,31.2,580.0,109.79416140367314,3006.3189482758535,37.86900000000001,40404.251396551714
368.0,7512.7,32.9,235.0,109.69394056429232,3146.1301276595786,131.32,40367.370127659575
368.0,6904.75,31.9,705.0,109.39144761794634,3113.9919148936115,14.62364539007092,40256.05272340426
368.0,7151.04,31.7,639.0,109.35337730489212,3086.949906103275,23.330187793427225,40242.0428482003
368.0,7911.84,31.6,984.0,109.02678599438846,3567.7033130081245,40.12913617886178,40121.85724593496
368.0,7644.53,31.8,241.0,108.75904226050876,3199.137759336106,79.35576763485477,40023.327551867216
368.0,7840.79,31.4,667.0,108.71431788181997,3346.1572863568204,-4.508095952023975,40006.868980509746
368.0,6979.3,32.8,682.0,108.55643595403542,3143.2851026392877,16.387727272727275,39948.76843108504
368.0,7886.99,31.4,958.0,108.26546348824544,3549.6667640918495,55.86659707724427,39841.690563674325
368.0,7754.11,32.6,1040.0,108.02108447428934,3516.0171826923165,102.18401923076921,39751.75908653848
368.0,7043.91,31.9,1033.0,107.88046800686055,3565.7018102613793,21.441393998063905,39700.01222652469
368.0,7092.65,32.7,243.0,107.86786969940958,3379.435390946511,116.90609053497943,39695.376049382736
368.0,7348.46,32.0,624.0,107.6381234322742,3090.0547916666515,51.031041666666646,39610.82942307691
368.0,6980.56,31.1,916.0,107.4220795163281,3405.0594650655075,-1.341189956331877,39531.32526200874
368.0,7086.37,31.0,940.0,107.00938933857542,3461.2997765957493,51.45230851063831,39379.455276595756
368.0,7275.66,31.8,712.0,106.69506865992916,3247.56713483145,92.8032443820225,39263.785266853934
368.0,7401.84,31.3,638.0,106.65809722979414,3060.2479623824265,73.75470219435735,39250.17978056424
368.0,7022.26,33.5,509.0,106.54327859400355,2911.5695284872186,3.944420432220037,39207.92652259331
368.0,7736.57,31.2,1084.0,106.54226729203435,3522.4526845018563,37.31717712177122,39207.55436346864
368.0,7019.86,32.7,648.0,106.30440708031398,3175.019382716037,82.08483024691358,39120.021805555545
368.0,7803.88,31.4,1041.0,106.02153165852232,3573.242766570614,104.19788664745437,39015.92365033622
368.0,7328.34,31.3,989.0,105.78577543192507,3489.45054600606,83.21582406471182,38929.165358948434
368.0,6900.2,30.8,1014.0,104.90195025083614,3572.07,19.26426035502959,38603.917692307696
368.0,7842.28,30.5,917.0,104.47650902636192,3579.6936205016273,101.15406761177753,38447.35532170119
368.0,7235.72,31.6,234.0,104.04631096711262,3282.8674786324855,64.94760683760684,38289.04243589744
368.0,7068.09,31.2,1038.0,103.47945832809752,3576.9136319845907,68.52587668593452,38080.44066473988
368.0,7508.65,32.6,555.0,101.2584964747356,2862.9602522522455,45.17041441441442,37263.126702702706
368.0,7578.43,31.7,656.0,100.69587536452806,3141.309054878035,32.01545731707318,37056.08213414633
368.0,7039.48,31.2,640.0,100.658614003057,3171.7043437499856,61.51685937499999,37042.36995312498
368.0,7604.91,30.6,713.0,100.52200782059882,3096.5103366058843,45.508036465638135,36992.09887798037
368.0,7545.02,30.5,630.0,98.70468875086264,3320.560190476178,51.63034920634921,36323.32546031745
368.0,7580.45,31.8,200.0,95.19255910326088,2770.2582500000003,41.47949999999996,35030.861750000004
368.0,7146.8,31.9,81.0,89.54849704777239,3366.833086419749,450.89283950617283,32953.84691358024
368.0,7762.1,33.8,626.0,88.60669528753992,3708.1219329073483,106.56333865814693,32607.263865814697
368.0,7223.49,31.6,24.0,88.40045289855072,3467.9537500000006,96.74625000000002,32531.36666666667
368.0,7450.4,33.0,105.0,88.34936956521736,4558.806285714272,126.90457142857143,32512.56799999999
368.0,7466.88,32.3,28.0,88.33797942546583,3359.883571428573,518.0035714285715,32508.37642857143
368.0,7398.89,34.1,717.0,88.31557842156329,3611.432175732221,55.74768479776848,32500.132859135287
368.0,7636.83,33.2,640.0,84.68800713315218,3166.6966406249994,15.973734375000006,31165.186625000002
368.0,7091.15,31.5,302.0,83.42155791102792,2934.1898344370834,26.690165562913915,30699.133311258272
368.0,7879.8,33.2,540.0,83.41479478663446,2997.897240740741,38.72057407407407,30696.644481481482
368.0,7026.79,33.1,606.0,82.50201728189124,2986.9775412541235,33.656402640264,30360.742359735974
368.0,6974.94,32.2,664.0,81.63013390518597,3618.4242620482005,108.43971385542169,30039.88927710844
368.0,7645.77,32.3,1309.0,79.1379744120968,3674.9679144384804,80.19108479755545,29122.77458365162
368.0,7206.98,33.3,714.0,79.1210155203386,3637.4866806722816,50.81257703081233,29116.533711484604
368.0,7418.88,33.9,1304.0,78.86816338523599,3539.608819018381,45.25291411042945,29023.484125766845
368.0,7130.92,31.0,25.0,77.69063804347826,2953.7772000000004,120.8976,28590.1548
368.0,7021.43,31.5,1318.0,76.56629972949786,3552.524939301951,111.99779210925645,28176.398300455214
368.0,7080.82,33.0,1358.0,76.29422394265858,3582.7482400588897,64.3649042709868,28076.274410898357
368.0,7486.07,32.8,1375.0,76.04949393280627,3561.334930909068,99.8263272727273,27986.213767272704
368.0,7542.3,31.5,728.0,75.90035191710463,2883.366813186814,31.85692307692307,27931.329505494505
368.0,7500.86,34.0,681.0,75.54837770542042,3008.709162995597,53.875036710719534,27801.802995594713
368.0,7292.61,32.1,1417.0,75.47654887468927,3580.430818630886,71.89110797459418,27775.36998588565
368.0,7270.14,32.6,814.0,74.91446640316205,2950.1022604422606,22.36216216216217,27568.523636363636
368.0,7628.58,32.2,1407.0,74.57156094527357,3738.7619047618814,67.92575692963752,27442.334427860675
368.0,7026.55,32.2,1328.0,74.18906473038888,3622.6963930722645,88.16045180722897,27301.57582078311
368.0,7727.7,31.9,625.0,73.62907560869564,3194.1905119999956,50.317312,27095.499823999995
368.0,7111.95,30.6,838.0,73.15715221931097,3948.2087112171753,121.55791169451074,26921.832016706445
368.0,7276.4,30.9,197.0,73.06252234606049,3975.06243654823,201.70060913705584,26887.008223350258
368.0,7828.42,32.3,1239.0,72.89701597975218,3565.956497175117,107.74522195318805,26826.101880548802
368.0,7864.06,30.9,1417.0,72.01188338038102,3636.5332674664573,85.39345095271695,26500.373083980216
